year,to,from,points
1961,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,10
1961,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,22
1961,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,4
1961,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,9
1961,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,7
1961,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
1961,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,13
1961,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,24
1962,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1962,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1962,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
1962,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,4
1962,France,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,22
1962,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,7
1962,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
1962,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,8
1962,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1962,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
1962,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1962,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,4
1962,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
1962,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,8
1963,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,16
1963,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,4
1963,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,42
1963,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1963,France,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,18
1963,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
1963,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,28
1963,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,13
1963,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1963,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1963,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1963,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,0
1963,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,36
1963,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,24
1964,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,11
1964,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,1
1964,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,4
1964,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,9
1964,France,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,8
1964,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,0
1964,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,41
1964,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,14
1964,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,2
1964,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,6
1964,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,0
1964,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,1
1964,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,0
1964,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyItalyLuxembourgNetherlandsNorwayPortugalSpainSwitzerlandUnited Kingdom,17
1965,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,16
1965,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1965,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1965,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1965,France,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,12
1965,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1965,Ireland,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1965,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,12
1965,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,32
1965,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
1965,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,1
1965,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1965,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1965,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
1965,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1965,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,26
1966,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,21
1966,Belgium,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,14
1966,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
1966,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1966,France,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1966,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1966,Ireland,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,11
1966,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1966,Luxembourg,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1966,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1966,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,15
1966,Portugal,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
1966,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1966,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,16
1966,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,9
1966,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1967,Austria,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,1
1967,Belgium,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1967,Finland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1967,France,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,14
1967,Germany,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1967,Ireland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,19
1967,Italy,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
1967,Luxembourg,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,15
1967,Netherlands,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1967,Norway,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1967,Portugal,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1967,Spain,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
1967,Sweden,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
1967,Switzerland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1967,United Kingdom,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,44
1968,Austria,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1968,Belgium,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1968,Finland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,1
1968,France,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,20
1968,Germany,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,11
1968,Ireland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,12
1968,Italy,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
1968,Luxembourg,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
1968,Netherlands,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,1
1968,Norway,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
1968,Portugal,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
1968,Spain,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,25
1968,Sweden,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,15
1968,Switzerland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
1968,United Kingdom,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,23
1969,Belgium,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1969,Finland,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
1969,France,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,16
1969,Germany,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
1969,Ireland,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1969,Italy,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1969,Luxembourg,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
1969,Netherlands,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,17
1969,Norway,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,1
1969,Portugal,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
1969,Spain,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,14
1969,Sweden,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
1969,Switzerland,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,11
1969,United Kingdom,BelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,16
1970,Belgium,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,5
1970,France,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,4
1970,Germany,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,11
1970,Ireland,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,32
1970,Italy,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,4
1970,Luxembourg,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,0
1970,Netherlands,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,4
1970,Spain,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,5
1970,Switzerland,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,8
1970,United Kingdom,BelgiumFranceGermanyIrelandItalyLuxembourgNetherlandsSpainSwitzerlandUnited Kingdom,18
1971,Austria,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,54
1971,Belgium,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,58
1971,Finland,AustriaBelgiumFinlandFranceGermanyIrelandItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,70
